tconst,titleType,averageRating,numVotes
tt0022698,movie,7.1,5651
tt0022718,movie,7.2,6222
tt0022827,movie,6.4,4278
tt0022835,movie,7.6,15874
tt0022867,movie,6.6,2792
tt0022879,movie,6.4,6862
tt0022913,movie,7.8,50744
tt0022958,movie,7.3,20926
tt0023027,movie,7.5,13419
tt0023042,movie,8.2,14483
tt0023049,movie,6.9,2313
tt0023074,movie,7.2,2612
tt0023158,movie,7.5,4640
tt0023194,movie,6.2,3733
tt0023196,movie,6.6,3961
tt0023238,movie,7.1,14063
tt0023245,movie,7.0,30242
tt0023249,movie,6.3,5288
tt0023285,movie,5.7,5455
tt0023293,movie,7.0,13151
tt0023303,movie,7.1,2929
tt0023305,movie,7.5,4458
tt0023312,movie,7.2,2672
tt0023369,movie,6.9,3047
tt0023382,movie,7.2,4944
tt0023385,movie,7.0,3547
tt0023395,movie,5.7,4935
tt0023427,movie,7.7,30419
tt0023458,movie,7.3,10402
tt0023470,movie,6.8,2714
tt0023551,movie,6.9,8239
tt0023563,movie,7.9,13631
tt0023590,movie,7.1,4409
tt0023622,movie,7.9,16245
tt0023634,movie,7.9,6234
tt0023649,movie,7.4,20586
tt0023686,movie,7.0,2593
tt0023694,movie,6.2,11683
tt0023731,movie,6.8,2964
tt0023753,movie,6.3,2626
tt0023775,movie,7.5,8190
tt0023814,movie,6.9,4324
tt0023825,movie,7.1,3158
tt0023876,movie,5.8,6008
tt0023926,movie,6.8,2695
tt0023940,movie,7.4,7792
tt0023943,movie,7.1,2097
tt0023948,movie,7.5,9053
tt0023969,movie,7.7,62817
tt0024025,movie,6.6,4039
tt0024028,movie,7.5,6108
tt0024034,movie,7.3,13066
tt0024055,movie,5.8,3264
tt0024069,movie,7.7,9171
tt0024115,movie,7.4,2522
tt0024166,movie,6.9,3992
tt0024184,movie,7.6,40106
tt0024188,movie,7.4,10962
tt0024210,movie,6.9,4096
tt0024216,movie,7.9,91217
tt0024240,movie,7.4,4676
tt0024264,movie,7.2,7948
tt0024353,movie,6.4,3290
tt0024368,movie,6.8,6849
tt0024473,movie,7.0,4880
tt0024481,movie,7.5,8645
tt0024548,movie,6.3,7061
tt0024593,movie,5.6,5318
tt0024601,movie,7.5,9607
tt0024727,movie,5.7,3061
tt0024772,movie,7.5,2364
tt0024803,movie,7.2,9390
tt0024844,movie,7.7,17521
tt0024852,movie,7.1,7575
tt0024865,movie,6.9,2135
tt0024894,movie,6.9,13042
tt0024914,movie,7.2,2472
tt0024968,movie,6.9,2175
tt0024991,movie,6.8,4632
tt0025004,movie,7.4,3255
tt0025028,movie,7.0,2438
tt0025037,movie,6.9,2424
tt0025101,movie,6.6,2020
tt0025164,movie,7.4,8668
tt0025301,movie,7.5,5662
tt0025316,movie,8.1,112617
tt0025318,movie,7.1,5769
tt0025330,movie,6.6,2040
tt0025335,movie,6.2,2527
tt0025423,movie,6.8,3613
tt0025452,movie,6.7,21242
tt0025456,movie,7.2,2330
tt0025464,movie,7.1,4814
tt0025465,movie,3.7,2708
tt0025493,movie,7.2,3268
tt0025586,movie,7.0,8413
tt0025610,movie,7.0,2203
tt0025746,movie,7.5,7252
tt0025748,movie,7.3,4781
tt0025862,movie,7.2,5580
tt0025878,movie,7.9,32635
tt0025898,movie,7.2,2095
tt0025907,movie,7.1,3177
tt0025913,movie,7.1,18369
tt0025919,movie,7.3,7269
tt0025929,movie,7.7,3481
tt0026029,movie,7.6,61691
tt0026056,movie,6.9,4577
tt0026071,movie,7.0,5811
tt0026097,movie,6.8,2053
tt0026123,movie,6.9,2261
tt0026126,movie,6.7,2111
tt0026129,movie,6.6,2010
tt0026138,movie,7.8,53395
tt0026144,movie,6.7,2002
tt0026164,movie,6.8,2545
tt0026174,movie,7.7,16134
tt0026197,movie,6.6,2172
tt0026205,movie,6.9,2958
tt0026246,movie,6.9,2240
tt0026252,movie,6.8,2117
tt0026261,movie,6.8,3699
tt0026266,movie,7.3,4776
tt0026276,movie,6.9,3973
tt0026393,movie,7.1,4383
tt0026406,movie,6.7,2135
tt0026421,movie,6.9,2972
tt0026452,movie,6.9,2158
tt0026529,movie,7.4,7203
tt0026643,movie,7.0,3249
tt0026663,movie,7.2,5890
tt0026685,movie,6.2,5591
tt0026714,movie,6.8,3907
tt0026725,movie,7.6,3940
tt0026752,movie,7.6,24920
tt0026778,movie,7.8,34831
tt0026866,movie,6.9,2580
tt0026912,movie,6.8,6677
tt0026942,movie,7.0,3664
tt0026955,movie,7.6,4531
tt0026972,movie,6.4,2643
tt0027067,movie,6.2,4550
tt0027075,movie,7.8,6346
tt0027125,movie,7.7,20754
tt0027194,movie,6.3,6528
tt0027214,movie,7.3,3227
tt0027260,movie,7.6,12161
tt0027286,movie,6.3,2184
tt0027300,movie,6.3,2034
tt0027336,movie,7.5,3686
tt0027367,movie,6.9,3932
tt0027376,movie,6.6,2248
tt0027407,movie,7.0,3522
tt0027413,movie,6.3,2069
tt0027438,movie,7.0,5494
tt0027440,movie,7.1,2272
tt0027459,movie,6.9,2394
tt0027478,movie,7.3,3717
tt0027515,movie,7.1,2879
tt0027521,movie,7.0,4973
tt0027532,movie,7.7,10236
tt0027545,movie,6.3,8045
tt0027593,movie,6.9,2209
tt0027623,movie,7.0,2667
tt0027630,movie,7.1,4736
tt0027652,movie,7.8,13759
tt0027672,movie,7.4,3020
tt0027698,movie,6.6,9043
tt0027752,movie,7.7,4051
tt0027800,movie,6.5,3041
tt0027884,movie,7.8,8943
tt0027893,movie,7.3,2536
tt0027948,movie,6.3,2798
tt0027977,movie,8.5,260222
tt0027996,movie,7.8,23269
tt0028010,movie,7.9,26524
tt0028021,movie,7.2,2608
tt0028070,movie,7.3,3459
tt0028096,movie,7.5,14980
tt0028108,movie,6.8,2436
tt0028141,movie,7.2,2589
tt0028201,movie,7.6,2548
tt0028203,movie,6.5,2237
tt0028212,movie,7.0,18808
tt0028216,movie,7.2,6122
tt0028219,movie,5.8,2461
tt0028231,movie,6.4,9063
tt0028249,movie,7.4,3699
tt0028313,movie,7.3,3161
tt0028333,movie,7.5,14618
tt0028345,movie,6.5,3610
tt0028346,movie,3.7,9381
tt0028355,movie,7.1,2958
tt0028356,movie,7.4,3044
tt0028358,movie,6.6,9112
tt0028478,movie,6.6,3107
tt0028505,movie,7.0,3906
tt0028575,movie,7.2,3221
tt0028597,movie,7.7,21434
tt0028683,movie,7.3,8766
tt0028691,movie,7.9,10959
tt0028757,movie,6.8,2384
tt0028772,movie,7.5,14618
tt0028773,movie,7.2,8624
tt0028804,movie,6.9,2527
tt0028816,movie,7.5,4189
tt0028818,movie,7.3,2000
tt0028944,movie,7.5,5421
tt0028950,movie,8.1,38933
tt0028988,movie,7.2,4982
tt0029002,movie,7.3,2545
tt0029030,movie,7.1,3048
tt0029047,movie,6.7,2642
tt0029058,movie,7.4,2658
tt0029080,movie,7.2,3941
tt0029146,movie,7.2,9047
tt0029162,movie,7.6,14484
tt0029192,movie,8.2,9547
tt0029217,movie,7.1,4851
tt0029284,movie,7.3,11551
tt0029310,movie,7.2,2967
tt0029314,movie,7.6,2304
tt0029322,movie,6.8,7291
tt0029440,movie,7.2,2893
tt0029442,movie,7.6,5078
tt0029453,movie,7.7,8080
tt0029511,movie,6.5,2241
tt0029546,movie,7.4,7876
tt0029583,movie,7.6,216068
tt0029604,movie,7.7,9046
tt0029606,movie,7.3,10927
tt0029608,movie,7.4,6301
tt0029682,movie,7.2,8341
tt0029747,movie,7.6,9012
tt0029808,movie,7.2,7668
tt0029811,movie,6.8,10902
tt0029843,movie,7.9,54604
tt0029844,movie,7.0,2248
tt0029850,movie,7.5,12286
tt0029852,movie,6.8,2325
tt0029855,movie,6.6,3254
tt0029864,movie,7.0,2989
tt0029870,movie,7.9,23271
tt0029923,movie,7.5,4528
tt0029929,movie,7.2,4558
tt0029942,movie,7.2,6369
tt0029947,movie,7.8,66247
tt0029957,movie,7.5,8436
tt0029971,movie,7.0,4324
tt0029992,movie,7.5,8754
tt0029995,movie,7.1,2382
tt0030044,movie,7.5,3434
tt0030127,movie,7.5,2407
tt0030149,movie,6.9,2236
tt0030241,movie,7.7,18286
tt0030252,movie,7.5,3251
tt0030287,movie,7.4,15092
tt0030341,movie,7.7,57321
tt0030386,movie,6.7,2057
tt0030396,movie,6.7,2833
tt0030418,movie,7.3,3288
tt0030442,movie,7.3,2280
tt0030522,movie,7.7,5255
tt0030523,movie,7.6,4336
tt0030637,movie,7.7,9693
tt0030643,movie,7.7,9990
tt0030696,movie,6.6,5557
